Id,LotArea,Street,Utilities,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,SaleCondition,SalePrice
78,8635,Pave,AllPub,Norm,1Fam,1.5Fin,5,5,1948,Gable,CompShg,Wd Sdng,Normal,127000
79,10778,Pave,AllPub,Norm,Duplex,1Story,4,5,1968,Hip,CompShg,HdBoard,Normal,136500
80,10440,Pave,AllPub,Norm,1Fam,2Story,5,6,1910,Gable,CompShg,Wd Sdng,Normal,110000
81,13000,Pave,AllPub,Norm,1Fam,2Story,6,6,1968,Gable,CompShg,VinylSd,Normal,193500
82,4500,Pave,AllPub,Norm,TwnhsE,1Story,6,5,1998,Hip,CompShg,VinylSd,Normal,153500
83,10206,Pave,AllPub,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,Normal,245000
84,8892,Pave,AllPub,Norm,1Fam,1Story,5,5,1960,Gable,CompShg,MetalSd,Normal,126500
85,8530,Pave,AllPub,Norm,1Fam,SLvl,7,5,1995,Gable,CompShg,HdBoard,Normal,168500
86,16059,Pave,AllPub,Norm,1Fam,2Story,8,5,1991,Hip,CompShg,HdBoard,Normal,260000
87,11911,Pave,AllPub,Norm,1Fam,2Story,6,5,2005,Gable,CompShg,VinylSd,Normal,174000
88,3951,Pave,AllPub,Norm,TwnhsE,2Story,6,5,2009,Gable,CompShg,VinylSd,Partial,164500
89,8470,Pave,AllPub,Feedr,1Fam,1.5Fin,3,2,1915,Hip,CompShg,Plywood,Abnorml,85000
90,8070,Pave,AllPub,Norm,1Fam,1Story,4,5,1994,Gable,CompShg,VinylSd,Normal,123600
91,7200,Pave,AllPub,Norm,1Fam,1Story,4,5,1950,Gable,CompShg,BrkFace,Normal,109900
92,8500,Pave,AllPub,Norm,1Fam,1Story,5,3,1961,Hip,CompShg,HdBoard,Abnorml,98600
93,13360,Pave,AllPub,Norm,1Fam,1Story,5,7,1921,Gable,CompShg,Wd Sdng,Normal,163500
94,7200,Pave,AllPub,Norm,2fmCon,2.5Unf,6,6,1910,Hip,CompShg,MetalSd,Normal,133900
95,9337,Pave,AllPub,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,Normal,204750
96,9765,Pave,AllPub,Norm,1Fam,2Story,6,8,1993,Gable,CompShg,VinylSd,Normal,185000
97,10264,Pave,AllPub,Norm,1Fam,1Story,7,5,1999,Gable,CompShg,VinylSd,Normal,214000
98,10921,Pave,AllPub,Norm,1Fam,1Story,4,5,1965,Hip,CompShg,HdBoard,Normal,94750
99,10625,Pave,AllPub,Norm,1Fam,1Story,5,5,1920,Gable,CompShg,Wd Sdng,Abnorml,83000
100,9320,Pave,AllPub,Norm,1Fam,1Story,4,5,1959,Gable,CompShg,Plywood,Normal,128950
101,10603,Pave,AllPub,Norm,1Fam,1Story,6,7,1977,Gable,CompShg,Plywood,Normal,205000
102,9206,Pave,AllPub,Norm,1Fam,2Story,6,5,1985,Gable,CompShg,HdBoard,Normal,178000
103,7018,Pave,AllPub,Norm,Duplex,1Story,5,5,1979,Gable,CompShg,HdBoard,Alloca,118964
104,10402,Pave,AllPub,Norm,1Fam,1Story,7,5,2009,Gable,CompShg,VinylSd,Normal,198900
105,7758,Pave,AllPub,Norm,1Fam,1.5Fin,7,4,1931,Gable,CompShg,Stucco,Normal,169500
106,9375,Pave,AllPub,Norm,1Fam,2Story,8,5,2003,Hip,CompShg,VinylSd,Normal,250000
107,10800,Pave,AllPub,Norm,1Fam,1Story,4,7,1885,Mansard,CompShg,VinylSd,Normal,100000
108,6000,Pave,AllPub,Norm,1Fam,1Story,5,5,1948,Gable,CompShg,VinylSd,Partial,115000
109,8500,Pave,AllPub,Artery,1Fam,1.5Fin,5,7,1919,Gable,CompShg,CemntBd,Normal,115000
110,11751,Pave,AllPub,Norm,1Fam,1Story,6,6,1977,Hip,CompShg,Plywood,Normal,190000
111,9525,Pave,AllPub,Norm,1Fam,1.5Fin,6,4,1954,Gable,CompShg,Wd Sdng,Normal,136900
112,7750,Pave,AllPub,Norm,1Fam,SLvl,7,5,2000,Gable,CompShg,VinylSd,Normal,180000
113,9965,Pave,AllPub,Norm,1Fam,2Story,7,5,2007,Gable,CompShg,VinylSd,Partial,383970
114,21000,Pave,AllPub,Norm,1Fam,1Story,6,5,1953,Hip,CompShg,Wd Sdng,Abnorml,217000
115,7259,Pave,AllPub,Norm,1Fam,2Story,6,8,1945,Gambrel,CompShg,Wd Sdng,Normal,259500
116,3230,Pave,AllPub,Norm,TwnhsE,2Story,6,5,1999,Gable,CompShg,MetalSd,Normal,176000
117,11616,Pave,AllPub,Norm,1Fam,1Story,5,5,1962,Gable,CompShg,Wd Sdng,Normal,139000
118,8536,Pave,AllPub,Norm,1Fam,1Story,5,5,2006,Gable,CompShg,VinylSd,Partial,155000
119,12376,Pave,AllPub,Norm,1Fam,2Story,7,5,1990,Hip,CompShg,Plywood,Normal,320000
120,8461,Pave,AllPub,Norm,1Fam,2Story,6,5,2005,Gable,CompShg,VinylSd,Partial,163990
121,21453,Pave,AllPub,Norm,1Fam,SLvl,6,5,1969,Flat,Metal,Plywood,Normal,180000
122,6060,Pave,AllPub,Norm,1Fam,1.5Fin,4,5,1939,Gable,CompShg,AsbShng,Normal,100000
123,9464,Pave,AllPub,Norm,1Fam,1Story,6,7,1958,Hip,CompShg,MetalSd,Normal,136000
124,7892,Pave,AllPub,Norm,TwnhsE,1Story,6,5,1993,Gable,CompShg,Plywood,Normal,153900
125,17043,Pave,AllPub,Norm,1Fam,1Story,6,5,1979,Gable,CompShg,HdBoard,Normal,181000
126,6780,Pave,AllPub,Norm,2fmCon,1.5Fin,6,8,1935,Gable,CompShg,Wd Sdng,Normal,84500
127,4928,Pave,AllPub,Norm,TwnhsE,1Story,6,5,1976,Gable,CompShg,Plywood,Normal,128000
128,4388,Pave,AllPub,Feedr,1Fam,1.5Unf,5,7,1930,Gable,CompShg,WdShing,Normal,87000
129,7590,Pave,AllPub,PosN,1Fam,2Story,6,5,1966,Gable,CompShg,VinylSd,Normal,155000
130,8973,Pave,AllPub,Norm,1Fam,1Story,5,7,1958,Gable,CompShg,Plywood,Abnorml,150000
131,14200,Pave,AllPub,Norm,1Fam,2Story,7,6,1966,Gable,CompShg,MetalSd,Normal,226000
132,12224,Pave,AllPub,Norm,1Fam,2Story,6,5,2000,Gable,CompShg,VinylSd,Normal,244000
133,7388,Pave,AllPub,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,MetalSd,Normal,150750
134,6853,Pave,AllPub,Norm,1Fam,1Story,8,5,2001,Gable,CompShg,VinylSd,Normal,220000
135,10335,Pave,AllPub,Norm,1Fam,1Story,5,6,1968,Gable,CompShg,Plywood,Normal,180000
136,10400,Pave,AllPub,Norm,1Fam,1Story,7,6,1970,Hip,CompShg,Plywood,Normal,174000
137,10355,Pave,AllPub,Norm,1Fam,1Story,5,5,1967,Gable,CompShg,MetalSd,Normal,143000
138,11070,Pave,AllPub,Norm,Duplex,1Story,7,5,1988,Gable,CompShg,VinylSd,Family,171000
139,9066,Pave,AllPub,Norm,1Fam,2Story,8,5,1999,Gable,CompShg,VinylSd,Normal,230000
140,15426,Pave,AllPub,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,Normal,231500
141,10500,Pave,AllPub,Norm,1Fam,1Story,4,5,1971,Gable,CompShg,HdBoard,Normal,115000
142,11645,Pave,AllPub,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,Normal,260000
143,8520,Pave,AllPub,Artery,1Fam,1.5Fin,5,4,1952,Gable,CompShg,BrkFace,Normal,166000
144,10335,Pave,AllPub,Norm,1Fam,1Story,7,5,1999,Gable,CompShg,VinylSd,Normal,204000
145,9100,Pave,AllPub,RRAe,Duplex,1Story,5,5,1963,Gable,CompShg,HdBoard,Abnorml,125000
146,2522,Pave,AllPub,Norm,Twnhs,2Story,6,5,2004,Gable,CompShg,VinylSd,Normal,130000
147,6120,Pave,AllPub,Norm,1Fam,1Story,5,7,1931,Gable,CompShg,Wd Sdng,Normal,105000
148,9505,Pave,AllPub,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,Normal,222500
149,7500,Pave,AllPub,Norm,1Fam,1Story,7,5,2004,Gable,CompShg,VinylSd,Normal,141000
150,6240,Pave,AllPub,Norm,1Fam,1.5Fin,5,4,1936,Gable,CompShg,MetalSd,Normal,115000
151,10356,Pave,AllPub,Norm,1Fam,1Story,5,6,1975,Gable,CompShg,HdBoard,Normal,122000
152,13891,Pave,AllPub,Norm,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,Partial,372402
153,14803,Pave,AllPub,Norm,1Fam,2Story,6,5,1971,Gable,CompShg,HdBoard,Normal,190000
154,13500,Pave,AllPub,Norm,1Fam,1Story,6,7,1960,Flat,CompShg,BrkFace,Normal,235000
155,11340,Pave,AllPub,Norm,1Fam,1Story,6,5,1923,Gable,CompShg,Wd Sdng,Family,125000
156,9600,Pave,AllPub,Artery,1Fam,1.5Fin,6,5,1924,Gable,CompShg,Wd Sdng,Normal,79000
157,7200,Pave,AllPub,Norm,1Fam,1Story,5,7,1950,Hip,CompShg,Wd Sdng,Normal,109500
158,12003,Pave,AllPub,Norm,1Fam,2Story,8,5,2009,Gable,CompShg,VinylSd,Partial,269500
159,12552,Pave,AllPub,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,Normal,254900
160,19378,Pave,AllPub,Norm,1Fam,2Story,7,5,2005,Gable,CompShg,VinylSd,Partial,320000
161,11120,Pave,AllPub,Norm,1Fam,1Story,6,6,1984,Gable,CompShg,Plywood,Normal,162500
162,13688,Pave,AllPub,Norm,1Fam,2Story,9,5,2003,Gable,CompShg,VinylSd,Normal,412500
163,12182,Pave,AllPub,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,Partial,220000
164,5500,Pave,AllPub,Norm,1Fam,1.5Unf,4,6,1956,Gable,CompShg,MetalSd,Normal,103200
165,5400,Pave,AllPub,Norm,1Fam,1Story,6,7,1926,Gable,CompShg,MetalSd,Normal,152000
166,10106,Pave,AllPub,Norm,2fmCon,1.5Fin,5,7,1940,Gable,CompShg,Wd Sdng,Normal,127500
167,10708,Pave,AllPub,Norm,1Fam,1Story,5,5,1955,Hip,CompShg,Wd Sdng,Normal,190000
168,10562,Pave,AllPub,Norm,1Fam,2Story,8,5,2007,Gable,CompShg,VinylSd,Partial,325624
169,8244,Pave,AllPub,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,Normal,183500
170,16669,Pave,AllPub,Norm,1Fam,1Story,8,6,1981,Hip,WdShake,Plywood,Normal,228000
171,12358,Pave,AllPub,Feedr,1Fam,1.5Fin,5,6,1941,Gable,CompShg,MetalSd,Normal,128500
172,31770,Pave,AllPub,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,BrkFace,Normal,215000
173,5306,Pave,AllPub,Norm,TwnhsE,2Story,7,7,1987,Gable,CompShg,HdBoard,Normal,239000
174,10197,Pave,AllPub,Norm,1Fam,1Story,6,5,1961,Gable,CompShg,WdShing,Normal,163000
175,12416,Pave,AllPub,Norm,1Fam,1Story,6,5,1986,Gable,CompShg,VinylSd,Normal,184000
176,12615,Pave,AllPub,Norm,1Fam,1Story,6,7,1950,Gable,CompShg,WdShing,Normal,243000
177,10029,Pave,AllPub,Norm,1Fam,2Story,6,5,1988,Gable,CompShg,Plywood,Normal,211000
178,13650,Pave,AllPub,Norm,1Fam,1.5Fin,5,5,1958,Gable,CompShg,MetalSd,Normal,172500
179,17423,Pave,AllPub,Norm,1Fam,1Story,9,5,2008,Hip,CompShg,VinylSd,Partial,501837
180,8520,Pave,AllPub,Norm,1Fam,1Story,5,6,1923,Gable,CompShg,Wd Sdng,Normal,100000
181,2117,Pave,AllPub,Norm,Twnhs,2Story,6,5,2000,Gable,CompShg,MetalSd,Normal,177000
182,7588,Pave,AllPub,Norm,1Fam,2Story,7,6,1920,Gable,CompShg,Stucco,Normal,200100
183,9060,Pave,AllPub,Artery,1Fam,1Story,5,6,1957,Hip,CompShg,Wd Sdng,Normal,120000
184,11426,Pave,AllPub,Norm,1Fam,1.5Fin,7,5,2003,Gable,CompShg,VinylSd,Normal,200000
185,7438,Pave,AllPub,RRAn,1Fam,1.5Fin,5,8,1908,Gable,CompShg,AsbShng,Normal,127000
186,22950,Pave,AllPub,Artery,1Fam,2.5Fin,10,9,1892,Gable,WdShngl,Wd Sdng,Normal,475000
187,9947,Pave,AllPub,Norm,1Fam,SLvl,7,5,1990,Gable,CompShg,HdBoard,Normal,173000
188,10410,Pave,AllPub,Norm,1Fam,1.5Fin,5,7,1916,Gable,CompShg,HdBoard,Normal,135000
189,7018,Pave,AllPub,Feedr,Duplex,SFoyer,5,5,1979,Gable,CompShg,Plywood,Alloca,153337
190,4923,Pave,AllPub,Norm,TwnhsE,1Story,8,5,2001,Gable,CompShg,CemntBd,Normal,286000
191,10570,Pave,AllPub,Norm,1Fam,2Story,8,8,1932,Hip,CompShg,BrkFace,Normal,315000
192,7472,Pave,AllPub,Norm,1Fam,2Story,7,9,1972,Gable,CompShg,HdBoard,Normal,184000
193,9017,Pave,AllPub,Norm,1Fam,1Story,7,5,1999,Gable,CompShg,VinylSd,Normal,192000
194,2522,Pave,AllPub,Norm,Twnhs,2Story,7,5,2004,Gable,CompShg,VinylSd,Normal,130000
195,7180,Pave,AllPub,Norm,1Fam,1Story,5,7,1972,Hip,CompShg,HdBoard,Normal,127000
196,2280,Pave,AllPub,Norm,Twnhs,2Story,6,6,1976,Gable,CompShg,Plywood,Normal,148500
197,9416,Pave,AllPub,Norm,1Fam,1Story,7,5,2007,Hip,CompShg,CemntBd,Partial,311872
198,25419,Pave,AllPub,Artery,1Fam,2Story,8,4,1918,Gable,CompShg,Stucco,Abnorml,235000
199,5520,Pave,AllPub,Norm,1Fam,2.5Fin,6,6,1912,Gable,CompShg,Wd Sdng,Abnorml,104000
200,9591,Pave,AllPub,Norm,1Fam,1Story,8,5,2004,Hip,CompShg,VinylSd,Normal,274900
201,8546,Pave,AllPub,Norm,1Fam,1Story,4,5,2003,Gable,CompShg,VinylSd,Normal,140000
202,10125,Pave,AllPub,Norm,1Fam,1Story,6,6,1977,Gable,CompShg,Plywood,Normal,171500
203,7000,Pave,AllPub,Artery,1Fam,1.5Fin,6,6,1924,Gable,CompShg,MetalSd,Normal,112000
204,4438,Pave,AllPub,Norm,TwnhsE,1Story,6,5,2004,Gable,CompShg,VinylSd,Normal,149000
205,3500,Pave,AllPub,Norm,1Fam,1.5Fin,5,7,1947,Gable,CompShg,AsbShng,Normal,110000
206,11851,Pave,AllPub,Norm,1Fam,1Story,7,5,1990,Gable,CompShg,HdBoard,Normal,180500
207,13673,Pave,AllPub,RRAe,1Fam,1Story,5,5,1962,Gable,CompShg,HdBoard,Normal,143900
208,12493,Pave,AllPub,Norm,1Fam,1Story,4,5,1960,Gable,CompShg,Wd Sdng,Normal,141000
209,14364,Pave,AllPub,Norm,1Fam,2Story,7,5,1988,Gable,CompShg,Plywood,Normal,277000
210,8250,Pave,AllPub,Norm,1Fam,1Story,6,7,1964,Hip,CompShg,HdBoard,Normal,145000
211,5604,Pave,AllPub,Norm,1Fam,1Story,5,6,1925,Gable,CompShg,Stucco,Normal,98000
212,10420,Pave,AllPub,Norm,1Fam,1Story,6,5,2009,Gable,CompShg,VinylSd,Normal,186000
213,8640,Pave,AllPub,Norm,1Fam,2Story,7,5,2009,Gable,CompShg,VinylSd,Partial,252678
214,13568,Pave,AllPub,Norm,1Fam,1Story,5,5,1995,Gable,CompShg,VinylSd,Normal,156000
215,10900,Pave,AllPub,Norm,1Fam,2Story,6,7,1977,Gable,CompShg,HdBoard,Normal,161750
216,10011,Pave,AllPub,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,HdBoard,Normal,134450
217,8450,Pave,AllPub,Norm,1Fam,1Story,7,5,2004,Gable,CompShg,VinylSd,Normal,210000
218,9906,Pave,AllPub,Norm,1Fam,2Story,4,4,1925,Gable,CompShg,MetalSd,Family,107000
219,15660,Pave,AllPub,Norm,1Fam,1.5Fin,7,9,1939,Gable,CompShg,VinylSd,Normal,311500
220,3010,Pave,AllPub,Norm,TwnhsE,1Story,7,5,2005,Gable,CompShg,VinylSd,Partial,167240
221,8990,Pave,AllPub,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,Partial,204900
222,8068,Pave,AllPub,Norm,1Fam,2Story,6,5,2002,Gable,CompShg,VinylSd,Normal,200000
223,11475,Pave,AllPub,RRAn,1Fam,2Story,6,6,1975,Gable,CompShg,VinylSd,Normal,179900
224,10500,Pave,AllPub,Norm,1Fam,1Story,4,6,1971,Gable,CompShg,HdBoard,Abnorml,97000
225,13472,Pave,AllPub,Norm,1Fam,1Story,10,5,2003,Hip,CompShg,VinylSd,Normal,386250
226,1680,Pave,AllPub,Norm,Twnhs,2Story,5,5,1971,Gable,CompShg,HdBoard,Abnorml,112000
227,9950,Pave,AllPub,Norm,1Fam,2Story,7,5,1995,Gable,CompShg,VinylSd,Abnorml,290000
228,1869,Pave,AllPub,Norm,Twnhs,2Story,6,6,1970,Gable,CompShg,HdBoard,Normal,106000
229,8521,Pave,AllPub,Feedr,1Fam,1Story,5,5,1967,Gable,CompShg,HdBoard,Normal,125000
230,3182,Pave,AllPub,Norm,TwnhsE,1Story,7,5,2005,Gable,CompShg,VinylSd,Normal,192500
231,8760,Pave,AllPub,Norm,1Fam,1Story,6,6,1959,Hip,CompShg,MetalSd,Normal,148000
232,15138,Pave,AllPub,Norm,1Fam,2Story,8,5,1995,Gable,CompShg,VinylSd,Normal,403000
233,1680,Pave,AllPub,Norm,Twnhs,2Story,6,5,1972,Gable,CompShg,HdBoard,Normal,94500
234,10650,Pave,AllPub,Norm,1Fam,1Story,5,6,1976,Gable,CompShg,HdBoard,Normal,128200
235,7851,Pave,AllPub,Norm,1Fam,2Story,6,5,2002,Gable,CompShg,VinylSd,Normal,216500
236,1680,Pave,AllPub,Norm,TwnhsE,2Story,6,3,1971,Gable,CompShg,HdBoard,Normal,89500
237,8773,Pave,AllPub,Norm,1Fam,1Story,7,5,2004,Gable,CompShg,VinylSd,Normal,185500
238,9453,Pave,AllPub,RRNe,1Fam,2Story,7,7,1993,Gable,CompShg,HdBoard,Normal,194500
239,12030,Pave,AllPub,Norm,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,Partial,318000
240,8741,Pave,AllPub,Norm,1Fam,1.5Fin,6,4,1945,Gable,CompShg,VinylSd,Normal,113000
241,9000,Pave,AllPub,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,Normal,262500
242,3880,Pave,AllPub,Norm,1Fam,1Story,5,9,1945,Gable,CompShg,VinylSd,Normal,110500
